ID,TX,d1_raw,d1_eaten,d1_size,d1_eatenpersize,feeddayeight,feeddaysixteen
1,Comp,31,6,688.4,0.008715863,,
2,Comp,36,1,650.63,0.001536972,,
3,Comp,35,2,590.25,0.003388395,,
4,Comp,36,1,625.08,0.001599795,,
5,Comp,27,10,736.41,0.013579392,,
6,Comp,33,4,595.12,0.006721334,,
7,Comp,21,16,732.9,0.021831082,,
8,Comp,36,1,695.45,0.001437918,,
9,Comp,25,12,727.32,0.016498928,,
10,Comp,25,12,740.15,0.01621293,,
11,Comp,16,21,764.88,0.027455287,,
12,Comp,22,15,568.97,0.026363429,,
13,Comp,,,,,,
14,Comp,22,15,740,0.02027027,,
15,Comp,31,6,746.83,0.008033957,,
16,Comp,29,8,721.07,0.011094623,,
17,Comp,24,13,761.09,0.017080766,,
18,Comp,31,6,704.58,0.008515711,,
19,Comp,26,11,709.88,0.015495577,,
20,Comp,37,0,586.48,0,,
21,Comp,37,0,705.87,0,,
22,Comp,28,9,759.38,0.011851774,,
23,Comp,31,6,653.35,0.009183439,,
24,Comp,33,4,738.38,0.005417265,,
25,Comp,24,13,728.64,0.017841458,,
26,Comp,31,6,758.34,0.007912018,,
27,Comp,31,6,564.66,0.010625863,,
28,Comp,30,7,744.1,0.009407338,,
29,Comp,31,6,700.96,0.00855969,,
30,Comp,30,7,716.32,0.009772169,,
31,Comp,42,0,746.21,0,,
32,Comp,36,1,722.47,0.001384141,,
33,Comp,27,10,750.89,0.01331753,,
34,Comp,30,7,698.36,0.010023484,,
35,Comp,30,7,712.49,0.009824699,,
36,Comp,29,8,557.95,0.014338202,,
37,Comp,28,9,675.14,0.013330568,,
38,Comp,33,4,730.46,0.005476001,,
39,Comp,38,0,745.44,0,,
40,Comp,37,0,716.4,0,,
41,Uncomp,20,17,597.91,0.028432373,,
42,Uncomp,28,9,714.44,0.012597279,,
43,Uncomp,43,0,781.19,0,,
44,Uncomp,37,0,749.56,0,,
45,Uncomp,16,21,756.67,0.027753182,,
46,Uncomp,20,17,634.51,0.026792328,,
47,Uncomp,38,0,708.68,0,,
48,Uncomp,23,14,732.09,0.019123332,,
49,Uncomp,23,14,756.75,0.018500165,,
50,Uncomp,26,11,777.05,0.014156103,,
51,Uncomp,30,7,724.69,0.009659303,,
52,Uncomp,18,19,712.53,0.026665544,,
53,Uncomp,29,8,745.88,0.010725586,,
54,Uncomp,25,12,726.35,0.016520961,,
55,Uncomp,21,16,736.92,0.02171199,,
56,Uncomp,29,8,660.18,0.012117907,,
57,Uncomp,32,5,790.77,0.006322951,,
58,Uncomp,30,7,740.98,0.009446949,,
59,Uncomp,39,0,578.04,0,,
60,Uncomp,29,8,739.13,0.010823536,,
61,Uncomp,20,17,714.88,0.023780215,,
62,Uncomp,21,16,704.51,0.02271082,,
63,Uncomp,37,0,757.1,0,,
64,Uncomp,18,19,755.15,0.025160564,,
65,Uncomp,26,11,584.92,0.018805991,,
66,Uncomp,25,12,731.18,0.016411827,,
67,Uncomp,32,5,644.58,0.007756989,,
68,Uncomp,26,11,737.97,0.014905755,,
69,Uncomp,29,8,747.98,0.010695473,,
70,Uncomp,20,17,729.48,0.023304272,,
71,Uncomp,29,8,700.66,0.011417806,,
72,Uncomp,31,6,744.35,0.008060724,,
73,Uncomp,32,5,607.79,0.008226526,,
74,Uncomp,34,3,765.58,0.003918598,,
75,Uncomp,24,13,731.54,0.01777073,,
76,Uncomp,18,19,605.35,0.031386801,,
77,Uncomp,,,,,,
78,Uncomp,16,21,713.15,0.02944682,,
79,Uncomp,34,3,728.71,0.004116864,,
80,Uncomp,32,5,756.62,0.006608337,,
81,poscontrol,35,,,,,
82,poscontrol,39,,,,,
83,negcontrol,2,,,,,
84,negcontrol,5,,,,,
